rows=100
cols=50
(0, 28, -739)
(3, 16, -619)
(4, 17, -335)
(9, 9, 403)
(9, 10, 841)
(11, 3, 561)
(11, 15, -377)
(11, 47, 81)
(12, 13, -864)
(13, 16, -84)
(17, 16, -441)
(17, 35, 413)
(23, 47, -201)
(27, 27, -478)
(28, 11, -192)
(32, 34, -667)
(33, 35, -701)
(34, 0, 649)
(35, 19, -738)
(35, 39, -778)
(35, 41, -544)
(45, 45, -244)
(50, 28, -573)
(54, 49, 70)
(57, 20, 359)
(57, 26, 946)
(59, 33, -537)
(61, 19, -989)
(62, 32, 739)
(64, 9, -415)
(65, 7, 212)
(65, 9, 187)
(65, 42, -792)
(67, 4, -707)
(70, 20, -24)
(72, 44, -465)
(76, 42, -217)
(78, 11, -98)
(80, 36, 611)
(82, 49, 512)
(84, 37, -828)
(89, 24, 298)
(94, 18, -54)
(94, 36, -173)
(95, 0, -997)
(95, 8, -592)
(96, 42, -522)
(96, 48, 805)
(97, 10, 566)
(97, 20, -161)
