rows=50
cols=100
(0, 32, 173)
(1, 9, 88)
(2, 83, -250)
(5, 9, 588)
(5, 56, 696)
(5, 86, -500)
(8, 23, -811)
(9, 47, 916)
(10, 75, -101)
(13, 81, 173)
(14, 71, -807)
(18, 5, -123)
(18, 14, 541)
(19, 97, 847)
(21, 31, 695)
(21, 38, -632)
(21, 64, -137)
(21, 75, 976)
(23, 91, -53)
(24, 68, 819)
(25, 42, 110)
(29, 47, -917)
(29, 57, -18)
(30, 40, 179)
(31, 75, -216)
(32, 68, -568)
(32, 99, 931)
(33, 24, 205)
(33, 82, 414)
(34, 19, -700)
(34, 47, 258)
(34, 72, 152)
(34, 81, 415)
(35, 84, 936)
(36, 72, -77)
(36, 84, -740)
(38, 50, -795)
(38, 76, -626)
(40, 14, 70)
(40, 38, 295)
(43, 48, -965)
(44, 1, 50)
(44, 25, -690)
(44, 77, -188)
(44, 78, 639)
(45, 53, 802)
(46, 23, -76)
(46, 65, 687)
(48, 10, -778)
(48, 57, -506)
