rows=500
cols=30
(0, 14, 432)
(1, 21, 345)
(5, 27, -295)
(7, 24, -633)
(9, 7, 833)
(9, 26, 684)
(10, 6, -277)
(17, 19, 65)
(28, 10, 431)
(29, 7, 68)
(36, 17, 926)
(41, 4, 691)
(49, 17, 105)
(52, 10, -239)
(53, 14, 511)
(55, 23, 297)
(58, 1, -162)
(58, 16, 827)
(59, 3, -137)
(63, 28, 824)
(68, 16, 202)
(73, 16, 82)
(74, 10, 911)
(75, 25, 541)
(79, 8, -177)
(89, 18, 541)
(90, 29, 883)
(93, 5, 255)
(96, 1, -725)
(97, 25, -231)
(98, 21, 117)
(104, 13, -341)
(107, 1, -343)
(111, 3, -735)
(111, 10, -186)
(112, 26, -600)
(117, 14, -521)
(126, 29, -560)
(127, 29, -521)
(129, 24, 959)
(130, 24, -450)
(131, 22, -706)
(132, 17, 360)
(132, 18, 485)
(136, 9, -318)
(138, 3, 550)
(139, 10, 484)
(141, 6, 735)
(142, 18, -12)
(145, 15, 67)
(153, 4, 288)
(156, 3, -198)
(158, 2, 357)
(165, 1, -581)
(170, 7, 746)
(171, 0, 412)
(181, 23, 292)
(185, 12, -470)
(185, 17, 523)
(185, 27, -184)
(187, 15, 283)
(193, 4, 381)
(197, 17, -430)
(198, 11, -943)
(202, 9, -266)
(204, 29, -746)
(207, 21, -426)
(207, 26, -344)
(210, 26, 607)
(211, 5, 339)
(212, 6, -562)
(214, 18, 472)
(216, 23, 346)
(219, 28, -746)
(224, 26, -93)
(225, 13, -994)
(229, 2, 876)
(229, 22, 367)
(230, 11, 898)
(230, 24, -268)
(232, 22, 640)
(238, 25, 723)
(247, 28, -664)
(256, 9, -525)
(256, 23, -639)
(259, 29, -473)
(262, 8, 255)
(262, 12, -317)
(274, 20, 625)
(286, 16, 704)
(288, 7, 856)
(292, 2, 739)
(292, 24, 720)
(302, 17, 68)
(303, 9, -290)
(311, 5, 260)
(315, 26, 655)
(319, 17, 111)
(319, 24, 425)
(321, 23, -917)
(323, 14, -984)
(324, 24, -604)
(328, 29, 348)
(334, 13, -924)
(339, 0, -522)
(343, 4, 397)
(343, 6, 963)
(348, 7, 612)
(354, 8, -506)
(357, 12, -545)
(360, 21, -863)
(375, 20, -658)
(389, 18, -854)
(390, 12, -680)
(390, 13, -582)
(394, 28, 657)
(396, 29, 902)
(398, 24, 90)
(414, 12, 77)
(415, 14, -952)
(416, 13, -776)
(424, 2, -140)
(425, 21, 395)
(426, 6, -20)
(428, 2, -156)
(429, 1, 572)
(433, 9, -403)
(437, 19, 114)
(438, 4, 152)
(443, 6, 351)
(445, 19, -476)
(445, 28, -913)
(447, 15, -900)
(453, 28, -587)
(463, 24, -853)
(465, 1, -294)
(465, 21, -535)
(467, 22, 943)
(470, 18, -384)
(472, 15, 860)
(472, 19, -877)
(476, 4, -45)
(476, 9, -891)
(481, 4, -175)
(486, 2, -585)
(492, 25, -508)
(494, 5, -896)
(494, 14, 12)
(497, 4, 750)
(498, 20, -720)
