rows=100
cols=100
(0, 17, -930)
(0, 49, -14)
(1, 37, 116)
(2, 32, -77)
(3, 94, -887)
(4, 10, -839)
(6, 40, 768)
(7, 73, -711)
(7, 85, -149)
(10, 14, -995)
(10, 37, 566)
(12, 7, -411)
(12, 61, -295)
(14, 40, -870)
(15, 24, 964)
(16, 25, -830)
(16, 91, 830)
(17, 32, -347)
(17, 34, -164)
(18, 59, 820)
(18, 86, -324)
(21, 9, 749)
(22, 28, -171)
(26, 22, -79)
(27, 49, 76)
(29, 9, 811)
(29, 44, 204)
(30, 14, 533)
(32, 36, 136)
(32, 74, 200)
(32, 78, -32)
(32, 85, -149)
(34, 4, -131)
(35, 64, -246)
(38, 21, 643)
(40, 4, 14)
(40, 8, -680)
(40, 41, -861)
(41, 85, -192)
(42, 2, 98)
(42, 35, 814)
(42, 66, -943)
(43, 37, 382)
(45, 28, -51)
(45, 29, 434)
(45, 41, 902)
(46, 67, -889)
(47, 16, 18)
(49, 31, 829)
(50, 81, -216)
(50, 87, -411)
(51, 53, 850)
(52, 61, -842)
(52, 95, -989)
(53, 84, 302)
(56, 46, 468)
(58, 82, -313)
(58, 85, -811)
(59, 69, -70)
(60, 54, 632)
(62, 1, -947)
(62, 33, 670)
(63, 97, 844)
(65, 88, -861)
(66, 48, -203)
(66, 91, 235)
(68, 2, 459)
(69, 54, -428)
(69, 88, 303)
(71, 87, -955)
(72, 74, -389)
(72, 78, 401)
(73, 9, -151)
(73, 69, 818)
(74, 35, -649)
(75, 44, -827)
(77, 29, -361)
(77, 72, 26)
(78, 87, 612)
(80, 72, -846)
(83, 42, 38)
(84, 8, -631)
(85, 32, 974)
(86, 7, 286)
(87, 16, 796)
(87, 51, -389)
(88, 31, 459)
(88, 46, 104)
(88, 97, -7)
(89, 65, -707)
(89, 74, 744)
(90, 4, 997)
(90, 45, 172)
(91, 81, 412)
(92, 16, 741)
(93, 23, 579)
(96, 57, 265)
(96, 65, -899)
(97, 92, -366)
(99, 17, -898)
